district,wholename,namefirst,namelast,party,votes1st,incumb,incumby,wonseat,m,electorate,senator,councillor,incministerstate,incminister,votes1997,valid1997,ptyvote1997,candptytotvote1997,voteshare1997,redistricted,gender,bday,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,count12,count13,count14,count15,count16,constituency,spend_party,spend_total,spend_public,spend_minor,assigned,spendlimit,assignedpct,minister,cexplimit,advert,publicity,election,otherexp,officestat,transport,market,campaign,totalexp,spend_cand,cexpincurred,marginalcand,ffbounce_ff,ffbounce_pd,ffbounce_lb,ffbounce_green,ffbounce_sf,ffbounce_oth,fgb_ff,fgb_pd,fgb_lb,fgb_green,fgb_sf,fgb_oth,labb_pd,labb_green,labb_lab,labb_sf,labb_oth,othrb_ff,othb_pd,othb_lab,othb_sf,othb_oth,ffbounce_fg,fgb_fg,labb_ff,labb_fg,othb_fg,othb_green,_merge,ffm,fgm,labm,othm,greenm,sfm,marginal
Wicklow,Brian Kenny,Brian,Kenny,ind,236,No,0,0,5,87909,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,239,249,0,0,0,0,0,0,0,0,0,0,0,0,0,Wicklow,0,11810.51953,NA,NA,NA,38092.14063,NA,0,38092.14063,3987.919922,0,3436.399902,4246.200195,0,140,0,0,11810.51953,11810.51953,11810.51953,3,2,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,1,0,3,1,0,1,0,0,0,0
Longford Roscommon,Brian Lenehan,Brian,Lenehan,csp,80,No,0,0,4,69172,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LongfordR,0,0,NA,NA,NA,31743.44922,NA,0,31743.44922,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,2,2,1,0,3,0,1,0,0,0,0,0
Dublin West,Brian Lenihan,Brian,Lenihan,ff,8086,Yes,0,1,3,52161,0,0,0,0,6842,40074,0.331861049,13299,0.170734137,major,m,5/1/59,8086,7498,7498,7498,7498,0,0,0,0,0,0,0,0,0,0,DublinW,2900.110107,17851.71094,6252.700195,NA,12697.37988,25394.75977,50,0,12697.37988,337,205.6999969,4684.72998,2411.409912,7312.759766,0,0,0,14951.59961,14951.59961,14951.59961,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,3,0,1,1,0,0,0,0
Clare,Brian Meaney,Brian,Meaney,gp,2903,No,0,0,4,78643,0,0,0,0,1682,46889,0.035871953,1682,0.035871953,no,m,NA,3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clare,0,7771.529785,NA,NA,NA,31743.44922,NA,0,31743.44922,2051,765,2289.280029,1936,334.25,396,0,0,7771.529785,7771.529785,7771.529785,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3,1,2,0,3,1,1,0,0,0,0,0
Waterford,Brian O'Shea,Brian,O'Shea,lab,6219,Yes,0,1,4,73511,0,0,0,0,5271,44797,0.117664129,5271,0.117664129,no,m,12/1/44,6364,6649,7182,7649,8316,9524,0,0,0,0,0,0,0,0,0,Waterford,4203.339844,13241,2477,NA,NA,31743.44922,NA,0,19046.07031,5647.779785,0,30,236.6600037,3123.219971,0,0,0,9037.660156,9037.660156,9037.660156,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Laois Offaly,Brian Stanley,Brian,Stanley,sf,2600,No,0,0,5,94096,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,2639,2820,3017,0,0,0,0,0,0,0,0,0,0,0,0,LaoisO,0,7249.379883,NA,NA,NA,38092.14063,NA,0,32092.14063,350,0,1524,3615.379883,0,0,0,1760,7249.379883,7249.379883,7249.379883,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,3,2,2,0,3,1,0,0,0,0,0,0
Dublin South Central,Brid Smith,Brid,Smith,swp,617,No,0,0,5,85326,0,0,0,0,218,40579,0.005372237,218,0.005372237,major,f,NA,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinSC,3025.100098,3090.100098,NA,NA,NA,38092.14063,NA,0,34592.14063,0,65,0,0,0,0,0,0,65,65,65,3,2,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,1,2,2,1,1,0,3,0,1,1,0,0,1,0
Dublin North Central,Bronwen Maher,Bronwen,Maher,gp,2275,No,0,0,4,65199,0,0,0,0,NA,NA,NA,NA,NA,major,f,NA,2403,2486,3058,0,0,0,0,0,0,0,0,0,0,0,0,DublinNC,0,8260.150391,300,NA,NA,31743.44922,NA,0,31743.44922,968,31.73999977,1780.959961,5479.450195,0,0,0,0,8260.150391,8260.150391,8260.150391,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,3,0,0,1,1,0,0,0
Cavan Monaghan,Caoimhghin O Caolain,Caoimhghin,O Caolain,sf,10832,Yes,0,1,5,87087,0,0,0,0,11531,59544,0.193655118,11531,0.193655118,no,m,9/1/53,10308,10308,10308,10308,10308,10308,10308,10308,10308,10308,10308,0,0,0,0,CavanM,0,28953.32031,2744.120117,NA,NA,38092.14063,NA,0,38092.14063,5218.220215,35.70000076,9266.160156,5142.560059,4303.200195,1837,0,3150.47998,28953.32031,28953.32031,28953.32031,3,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Dublin North,Cathal Boland,Cathal,Boland,fg,1177,No,0,0,4,71679,0,1,0,0,NA,NA,NA,NA,NA,minor,m,NA,1189,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinN,0,16528.65039,250,NA,NA,31743.44922,NA,0,16805.61914,1908.170044,300,8745.19043,3975.840088,674.4500122,125,0,800,16528.65039,16528.65039,16528.65039,3,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0
Longford Roscommon,Catherine Ansbro,Catherine,Ansbro,gp,426,No,0,0,4,69172,0,0,0,0,NA,NA,NA,NA,NA,no,f,NA,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LongfordR,0,5770.5,NA,NA,NA,31743.44922,NA,0,31743.44922,2372.5,0,0,3398,0,0,0,0,5770.5,5770.5,5770.5,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,2,2,1,0,3,0,1,0,0,0,0,0
Dublin South Central,Catherine Byrne,Catherine,Byrne,fg,2012,No,0,0,5,85326,0,0,0,0,NA,NA,NA,NA,NA,major,f,NA,2015,2025,2059,2091,2146,2259,0,0,0,0,0,0,0,0,0,DublinSC,7706.25,28117.34961,308,NA,NA,38092.14063,NA,0,20411.09961,452,0,7917.399902,11287.7002,754,0,0,0,20411.09961,20411.09961,20411.09961,3,2,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,1,2,2,1,1,0,3,0,1,1,0,0,1,1
Wicklow,Catherine Kennedy,Catherine,Kennedy,swp,399,No,0,0,5,87909,0,0,0,0,NA,NA,NA,NA,NA,no,f,NA,401,413,426,0,0,0,0,0,0,0,0,0,0,0,0,Wicklow,3025.100098,3025.100098,NA,NA,NA,38092.14063,NA,0,34592.14063,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,1,0,3,1,0,1,0,0,0,0
Donegal North East,Cecilia Keaveney,Cecilia,Keaveney,ff,8340,Yes,0,1,3,57048,0,0,0,0,8317,35529,0.418109149,14855,0.234090462,no,f,11/1/68,8463,8712,9724,9087,9087,0,0,0,0,0,0,0,0,0,0,DonegalNE,3045.780029,12391.83984,2716.610107,NA,12697,25394.75977,49.99850464,0,12697.75977,1775,255,953.8699951,2426.580078,2178,0,0,1757.609985,9346.05957,9346.05957,9346.05957,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0
Laois Offaly,Charles Flanagan,Charles,Flanagan,fg,6500,Yes,0,0,5,94096,0,0,0,0,8104,58070,0.283778191,16479,0.139555708,no,m,NA,6530,6646,6865,7384,7606,0,0,0,0,0,0,0,0,0,0,LaoisO,2723.5,21813.15039,2200,NA,NA,38092.14063,NA,0,20951.14063,2175.139893,300,7463.899902,5950.609863,2200,1000,0,0,19089.65039,19089.65039,19089.65039,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,3,2,2,0,3,1,0,0,0,0,0,0
Wicklow,Charlie Keddy,Charlie,Keddy,ind,383,No,0,0,5,87909,0,0,0,0,316,52296,0.208448067,10901,0.006042527,no,m,NA,389,397,409,0,0,0,0,0,0,0,0,0,0,0,0,Wicklow,0,3423.610107,NA,300,NA,38092.14063,NA,0,38092.14063,223.6100006,0,0,3200,0,0,0,0,3423.610107,3423.610107,3423.610107,3,2,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,1,0,3,1,0,1,0,0,0,0
Kildare North,Charlie McCreevy,Charlie,McCreevy,ff,9082,Yes,0,1,3,58205,0,0,0,1,6905,31396,0.348579437,10944,0.219932482,minor,m,9/1/49,8246,8246,8246,8246,0,0,0,0,0,0,0,0,0,0,0,KIldareN,3412.560059,26880.13086,14493.40039,NA,12697,25394.75977,49.99850464,1,12697.75977,1676.150024,95,3793.379883,2296.26001,15606.78027,0,0,0,23467.57031,23467.57031,23467.57031,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0
Dublin South West,Charlie O'Connor,Charlie,O'Connor,ff,7155,No,0,1,4,67631,0,1,0,0,NA,NA,NA,NA,NA,major,m,4/1/46,7189,7342,7361,7361,7361,0,0,0,0,0,0,0,0,0,0,DublinSW,11588.25,25169.61914,NA,NA,15871.5,31743.44922,49.99929428,0,15871.9502,1708.199951,0,5451.069824,2891.47998,2430.620117,0,0,1100,13581.37012,13581.37012,13581.37012,2,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0
Dublin South East,Chris Andrews,Chris,Andrews,ff,3449,No,0,0,4,58662,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,3473,3500,3824,0,0,0,0,0,0,0,0,0,0,0,0,DublinSE,5117.77002,19327.64063,NA,NA,15871,31743.44922,49.99771881,0,15872.4502,484,0,9011.80957,3850.25,863.8099976,0,0,0,14209.87012,14209.87012,14209.87012,2,2,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,3,1,1,0,0,0,0,1
Laois Offaly,Christopher Fettes,Christopher,Fettes,gp,520,No,0,0,5,94096,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LaoisO,0,0,NA,NA,NA,38092.14063,NA,0,18092.14063,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,3,2,2,0,3,1,0,0,0,0,0,0
Cork South West,Christy O'Sullivan,Christy,O'Sullivan,ind,3609,No,0,0,3,53672,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,3684,3849,4303,5144,0,0,0,0,0,0,0,0,0,0,0,CorkSW,0,8218.419922,NA,NA,NA,25394.75977,NA,0,25394.75977,7542.569824,48,0,290,38,299.8500061,0,0,8218.419922,8218.419922,8218.419922,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,1,2,0,3,0,1,1,0,0,0,0
Dun Laoghaire,Ciaran Cuffe,Ciaran,Cuffe,gp,5002,No,0,1,5,90219,0,1,0,0,1253,35741,0.035057776,1253,0.035057776,minor,m,4/1/63,5012,5033,5108,5177,5306,5695,5799,6599,6918,8670,0,0,0,0,0,DunL,0,15500.13965,NA,394.8299866,NA,38092.14063,NA,0,38092.14063,768.3499756,127,3594.679932,10421.11035,239,0,0,350,15500.13965,15500.13965,15500.13965,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,2,1,1,1,3,0,0,1,0,1,0,1
Dublin North,Ciaran Goulding,Ciaran,Goulding,ind,914,No,0,0,4,71679,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinN,0,6062.339844,NA,NA,NA,31743.44922,NA,0,31743.44922,1849.839966,0,1537,2500,175.5,0,0,0,6062.339844,6062.339844,6062.339844,3,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0
Cork South West,Cionnaith O Suilleabhain,Cionnaith,O Suilleabhain,sf,1308,No,0,0,3,53672,0,1,0,0,NA,NA,NA,NA,NA,no,m,NA,1329,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,CorkSW,0,4171.970215,NA,NA,NA,25394.75977,NA,0,19394.75977,508.3699951,0,1858.670044,1714.180054,90.75,0,0,0,4171.970215,4171.970215,4171.970215,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,1,2,0,3,0,1,1,0,0,0,0
Dublin North,Clare Daly,Clare,Daly,sp,5501,No,0,0,4,71679,0,0,0,0,2971,41158,0.072185241,2971,0.072185241,minor,f,NA,5551,5730,5796,6244,6590,6772,7523,0,0,0,0,0,0,0,0,DublinN,423.3299866,9731.830078,NA,NA,NA,31743.44922,NA,0,30743.44922,3133.899902,65.80000305,2105.75,3163.620117,0,839.4299927,0,0,9308.5,9308.5,9308.5,3,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0
Dublin Mid West,Colm Callanan,Colm,Callanan,csp,107,No,0,0,3,54793,0,0,0,0,91,40579,0.02878336,1168,0.002242539,new constituency,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinMidW,314.9899902,314.9899902,NA,NA,NA,25394.75977,NA,0,24394.75977,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,3,0,1,1,1,1,0,0
Dublin South East,Colm MacEochaidh,Colm,Mac Eochaidh,fg,1873,No,0,0,4,58662,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinSE,525.9500122,14772.9502,NA,NA,NA,31743.44922,NA,0,16805.44922,0,0,5334,7071,1842,0,0,0,14247,14247,14247,3,2,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,3,1,1,0,0,0,0,1
Dublin Mid West,Colm McGrath,Colm,McGrath,ind,487,No,0,0,3,54793,0,1,0,0,2898,41852,0.299364418,12529,0.069244005,new constituency,m,NA,488,521,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinMidW,0,15706.86035,NA,NA,NA,25394.75977,NA,0,25394.75977,2742.23999,0,7123.160156,971.4000244,477.9500122,3623.5,0,768.6099854,15706.86035,15706.86035,15706.86035,3,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,3,0,1,1,1,1,0,0
Cork South Central,Con O'Connell,Con,O'Connell,ind,1821,No,0,0,5,88737,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,1919,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,CorkSC,0,484,NA,NA,NA,38092.14063,NA,0,38092.14063,0,0,0,484,0,0,0,0,484,484,484,3,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,3,1,1,1,3,0,1,1,0,1,0,0
Waterford,Conor Halpin,Conor,Halpin,ind,289,No,0,0,4,73511,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waterford,0,0,NA,NA,NA,31743.44922,NA,0,31743.44922,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Dublin South West,Conor Lenihan,Conor,Lenihan,ff,7080,Yes,0,1,4,67631,0,0,0,0,4436,41852,0.299364418,12529,0.105992548,major,m,3/1/63,7116,7232,7250,7361,7361,0,0,0,0,0,0,0,0,0,0,DublinSW,8220.969727,21453.40039,2594.290039,NA,15871.5,31743.44922,49.99929428,0,15871.9502,313.0799866,0,3906.72998,4737.149902,2166.320068,540,0,1569.150024,13232.42969,13232.42969,13232.42969,2,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0
Limerick East,Conor O'Donoghue,Conor,O'Donoghue,csp,86,No,0,0,5,79329,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,95,96,0,0,0,0,0,0,0,0,0,0,0,0,0,LimerickE,0,964.7999878,NA,NA,NA,38092.14063,NA,0,33092.14063,0,0,120,640,204.8000031,0,0,0,964.7999878,964.7999878,964.7999878,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Dublin South East,Daithi Doolan,Daithi,Doolan,sf,2398,No,0,0,4,58662,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,2555,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinSE,0,10314,NA,NA,NA,31743.44922,NA,0,25743.44922,1978.439941,0,3888.030029,4021.23999,234.7899933,191.5,0,0,10314,10314,10314,3,2,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,3,1,1,0,0,0,0,0
Galway East,Daithi Mac an Bhaird,Daithi,Mac An Bhaird,sf,1828,No,0,0,4,72639,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GalwayE,113.6200027,5927.319824,NA,NA,NA,31743.44922,NA,0,25743.44922,0,132.4299927,1625,3135.120117,504.1499939,417,0,0,5813.700195,5813.700195,5813.700195,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,2,2,0,3,1,1,0,0,0,0,0
Meath,Damien English,Damien,English,fg,5958,No,0,1,5,107894,0,0,0,0,NA,NA,NA,NA,NA,no,m,2/1/78,6019,6071,6139,6265,6639,7376,8725,10154,0,0,0,0,0,0,0,Meath,0,15230.09961,NA,160,NA,38092.14063,NA,0,15871.71973,0,0,10022.30957,3440.290039,1242.5,125,400,0,15230.09961,15230.09961,15230.09961,2,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,2,3,1,1,0,3,0,1,0,1,0,0,1
Cork South Central,Dan Boyle,Dan,Boyle,gp,4952,No,0,1,5,88737,0,1,0,0,3622,55039,0.065807879,3622,0.065807879,minor,m,8/1/62,5400,5512,5773,6343,7772,8318,9332,9332,9224,0,0,0,0,0,0,CorkSC,0,17612.89063,NA,NA,NA,38092.14063,NA,0,38092.14063,6558.339844,221.5599976,3711.73999,6213.350098,747.9000244,0,0,160,17612.89063,17612.89063,17612.89063,2,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,3,1,1,1,3,0,1,1,0,1,0,1
Kerry North,Dan Kiely,Dan,Kiely,ff,3927,No,0,0,3,54670,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KerryN,5858.660156,17079.11914,2008.599976,NA,12697,25394.75977,49.99850464,0,12697.75977,471.25,0,4661.220215,3413.409912,2674.580078,0,0,0,11220.45996,11220.45996,11220.45996,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,3,1,0,0,0,0,1,1
Limerick West,Dan Neville,Dan,Neville,fg,7446,Yes,0,1,3,52903,0,0,0,0,7026,33614,0.371928364,12502,0.209020048,minor,m,12/1/46,7678,7862,8564,0,0,0,0,0,0,0,0,0,0,0,0,LimerickW,2110.810059,17589.81055,2959,417,NA,25394.75977,NA,0,13604.75977,5331,0,5960,967,3221,0,0,0,15479,15479,15479,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,2,0,3,1,1,0,0,0,0,1
Cork North Central,Dan Wallace,Dan,Wallace,ff,5537,Yes,0,1,5,77126,0,0,1,0,5273,44008,0.355276316,15635,0.119819127,minor,m,6/1/42,5608,5632,5675,6235,6577,7187,0,0,0,0,0,0,0,0,0,CorkNC,4624.089844,33530.60156,15493.62988,NA,19046,38092.14063,49.99981689,1,19046.14063,2505.429932,0,5842.399902,3145.449951,13349.58008,4063.649902,0,0,28906.50977,28906.50977,28906.50977,1,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,2,3,1,1,0,3,0,1,1,0,0,0,0
Galway West,Dana Rosemary Scallan,Dana,Scallan,ind,1677,No,0,0,5,80109,0,0,0,0,NA,NA,NA,NA,NA,minor,f,NA,1727,1731,1740,1812,1872,1920,0,0,0,0,0,0,0,0,0,GalwayW,0,28850.15039,NA,NA,NA,38092.14063,NA,0,38092.14063,9833.610352,1618.530029,5785.799805,7367.27002,2100.699951,884.6400146,1259.599976,0,28850.15039,28850.15039,28850.15039,2,3,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,3,1,1,0,3,0,0,0,0,0,0,0
Galway West,Daniel Callanan,Daniel,Callanan,sf,1468,No,0,0,5,80109,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,1485,1492,1498,1509,2166,2200,2306,0,0,0,0,0,0,0,0,GalwayW,0,6290.439941,NA,NA,NA,38092.14063,NA,0,32092.14063,1749.25,0,1216.050049,1465.75,1859.390015,0,0,0,6290.439941,6290.439941,6290.439941,3,3,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,3,1,1,0,3,0,0,0,0,0,0,0
Dublin South West,Darragh O'Reilly,Darragh,O'Reilly,csp,760,No,0,0,4,67631,0,0,0,0,NA,NA,NA,NA,NA,major,m,NA,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinSW,0,2709.600098,NA,NA,NA,31743.44922,NA,0,31743.44922,649,0,980,1080.599976,0,0,0,0,2709.600098,2709.600098,2709.600098,3,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0
Waterford,David Cullinane,David,Cullinane,sf,2955,No,0,0,4,73511,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,3090,3410,3585,3714,3871,0,0,0,0,0,0,0,0,0,0,Waterford,0,12148.00977,NA,NA,NA,31743.44922,NA,0,25743.44922,1138.319946,505,3832.110107,5375.060059,1147.52002,150,0,0,12148.00977,12148.00977,12148.00977,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Dublin Mid West,David Green,David,Green,ind,1078,No,0,0,3,54793,0,0,0,0,NA,NA,NA,NA,NA,new constituency,m,NA,1092,1170,1313,0,0,0,0,0,0,0,0,0,0,0,0,DublinMidW,0,4172.430176,NA,29.39999962,NA,25394.75977,NA,0,25394.75977,0,0,1296.23999,2876.189941,0,0,0,0,4172.430176,4172.430176,4172.430176,3,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,3,0,1,1,1,1,0,0
Dublin North East,David Healy,David,Healy,gp,1656,No,0,0,3,51793,0,0,0,0,NA,NA,NA,NA,NA,major,m,NA,1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinNE,0,6173.109863,NA,NA,NA,25394.75977,NA,0,25394.75977,65,0,2001.859985,4106.25,0,0,0,0,6173.109863,6173.109863,6173.109863,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,3,1,1,1,0,0,0,0
Cork East,David Stanton,David,Stanton,fg,6269,Yes,0,1,4,71907,0,0,0,0,5117,43076,0.30123502,12976,0.118790045,minor,m,2/1/57,6324,6978,8438,0,0,0,0,0,0,0,0,0,0,0,0,CorkE,968,18372.86914,3689.790039,NA,NA,31743.44922,NA,0,16805.44922,2415.800049,383.25,7225.899902,3690.129883,1805.650024,0,0,1884.140015,17404.86914,17404.86914,17404.86914,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,2,2,1,1,0,3,1,1,0,0,0,0,1
Dublin North,David Walshe,David,Walshe,csp,247,No,0,0,4,71679,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinN,0,276.8599854,NA,40,NA,31743.44922,NA,0,31743.44922,0,0,161.1600037,115.6999969,0,0,0,0,276.8599854,276.8599854,276.8599854,3,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0
Sligo Leitrim,Declan Bree,Declan,Bree,lab,2429,No,0,0,4,68396,0,1,0,0,4905,45166,0.108599387,4905,0.108599387,no,m,NA,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SligoL,3603.840088,18623.38086,NA,130,NA,31743.44922,NA,0,19046.07031,7370.490234,0,4750,2082.050049,817,0,0,0,15019.54004,15019.54004,15019.54004,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,2,2,1,1,0,3,1,1,0,0,0,0,0
Galway West,Declan McDonnell,Declan,McDonnell,pd,1462,No,0,0,5,80109,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,1479,1480,1484,1499,1506,0,0,0,0,0,0,0,0,0,0,GalwayW,1119,18405.58984,2050,NA,NA,38092.14063,NA,0,18992.14063,2234.689941,1220.420044,5770,6927.609863,695.8699951,138,0,300,17286.58984,17286.58984,17286.58984,3,3,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,3,1,1,0,3,0,0,0,0,0,0,0
Waterford,Declan Waters,Declan,Waters,ind,210,No,0,0,4,73511,0,0,0,0,855,44797,0.0190861,855,0.0190861,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waterford,0,2887.199951,NA,121.5,NA,31743.44922,NA,0,31743.44922,0,0,975,1815,0,97.19999695,0,0,2887.199951,2887.199951,2887.199951,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
