DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
Detroit MI,MI,North Central,44.4,41.93,yes,CBB,6,Michigan
Dothan AL,AL,South,62.8,73.61,no,CBB,4,Alabama
Duluth MN-Superior WI,WI,North Central,43.1,44.08,yes,CBB,3,Wisconsin
El Paso TX,TX,South,64.8,28.53,yes,CBB,2,Texas
Elmira NY,NY,Northeast,45.4,62.86,yes,CBB,3,New York
Erie PA,PA,Northeast,48.8,53.78,yes,CBB,3,Pennsylvania
Eugene OR,OR,West,48.4,40.87,no,CBB,4,Oregon
Eureka CA,CA,West,59.4,34.44,yes,CBB,2,California
Evansville IN,IN,North Central,51.7,65.84,yes,CBB,19,Indiana
Fargo-Valley City ND,ND,North Central,40.4,56.78,no,CBB,3,North Dakota
Flint-Saginaw-Bay City MI,MI,North Central,44.4,51,yes,CBB,8,Michigan
Florence-Myrtle Beach SC,SC,South,62.4,56.54,no,CBB,5,South Carolina
Fresno-Visalia CA,CA,West,59.4,46.28,yes,CBB,2,California
Ft. Myers-Naples FL,FL,South,70.7,59.62,yes,CBB,5,Florida
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,South,60.4,63.21,no,CBB,5,Arkansas
Ft. Wayne IN,IN,North Central,51.7,64.98,yes,CBB,7,Indiana
Gainesville FL,FL,South,70.7,44.27,yes,CBB,5,Florida
Glendive MT,MT,West,42.7,77.21,no,CBB,3,Montana
Grand Junction-Montrose CO,CO,West,45.1,64.91,yes,CBB,3,Colorado
Grand Rapids-Kalamazoo-Battle Creek MI,MI,North Central,44.4,52.87,yes,CBB,10,Michigan
Great Falls MT,MT,West,42.7,59.38,no,CBB,3,Montana
Green Bay-Appleton WI,WI,North Central,43.1,55.8,yes,CBB,3,Wisconsin
Greensboro-High Point-Winston Salem NC,NC,South,59,54.19,yes,CBB,9,North Carolina
Greenville-New Bern-Washington NC,NC,South,59,55.91,yes,CBB,7,North Carolina
Greenville-Spartanburg SC-Asheville NC-Anderson SC,SC,South,62.4,61.19,no,CBB,6,South Carolina
Greenwood-Greenville MS,MS,South,63.4,38.45,no,CBB,4,Mississippi
Harlingen-Weslaco-Brownsville-McAllen TX,TX,South,64.8,29,yes,CBB,1,Texas
Harrisburg-Lancaster-Lebanon-York PA,PA,Northeast,48.8,59.18,yes,CBB,3,Pennsylvania
Harrisonburg VA,VA,South,55.1,61.24,no,CBB,5,Virginia
Hartford & New Haven CT,CT,Northeast,59,41.93,no,CBB,3,Connecticut
Hattiesburg-Laurel MS,MS,South,63.4,65.41,no,CBB,3,Mississippi
Helena MT,MT,West,42.7,51.48,no,CBB,4,Montana
Honolulu HI,HI,West,70,30.04,no,CBB,3,Hawaii
Houston TX,TX,South,64.8,49.76,yes,CBB,2,Texas
Huntsville-Decatur (Florence) AL,AL,South,62.8,67.73,no,CBB,5,Alabama
Idaho Falls-Pocatello ID,ID,West,44.4,58.14,no,CBB,3,Idaho
Indianapolis IN,IN,North Central,51.7,54.95,yes,CBB,7,Indiana
Jackson MS,MS,South,63.4,49.42,no,CBB,4,Mississippi
Jackson TN,TN,South,57.6,68,yes,CBB,5,Tennessee
Jacksonville FL,FL,South,70.7,58.92,yes,CBB,3,Florida
Johnstown-Altoona PA,PA,Northeast,48.8,66.3,yes,CBB,3,Pennsylvania
Jonesboro AR,AR,South,60.4,68.79,no,CBB,5,Arkansas
Joplin MO-Pittsburg KS,KS,North Central,54.3,72.57,no,CBB,6,Kansas
Kansas City MO,MO,North Central,54.5,49.73,yes,CBB,8,Missouri
Knoxville TN,TN,South,57.6,70.6,yes,CBB,7,Tennessee
La Crosse-Eau Claire WI,WI,North Central,43.1,49.37,yes,CBB,4,Wisconsin
Lafayette IN,IN,North Central,51.7,51.7,yes,CBB,8,Indiana
Lafayette LA,LA,South,66.4,66.55,yes,CBB,3,Louisiana
Lake Charles LA,LA,South,66.4,68.47,yes,CBB,2,Louisiana
Lansing MI,MI,North Central,44.4,46.28,yes,CBB,16,Michigan
Laredo TX,TX,South,64.8,23.28,yes,CBB,1,Texas
Las Vegas NV,NV,West,49.9,42.47,no,CBB,4,Nevada
Lexington KY,KY,South,55.6,63.82,no,CBB,35,Kentucky
Lima OH,OH,North Central,50.7,72.08,yes,CBB,5,Ohio
Lincoln & Hastings-Kearney NE,NE,North Central,48.8,63.22,no,CBB,5,Nebraska
Little Rock-Pine Bluff AR,AR,South,60.4,58.17,no,CBB,4,Arkansas
Los Angeles CA,CA,West,59.4,31.7,yes,CBB,3,California
Louisville KY,KY,South,55.6,54.68,no,CBB,27,Kentucky
Lubbock TX,TX,South,64.8,69.69,yes,CBB,3,Texas
Macon GA,GA,South,63.5,54.2,yes,CBB,4,Georgia
Madison WI,WI,North Central,43.1,32.97,yes,CBB,5,Wisconsin
Mankato MN,MN,North Central,41.2,54.38,yes,CBB,3,Minnesota
Marquette MI,MI,North Central,44.4,55.34,yes,CBB,4,Michigan
Medford-Klamath Falls OR,OR,West,48.4,55.46,no,CBB,3,Oregon
Memphis TN,TN,South,57.6,47.36,yes,CBB,5,Tennessee
Meridian MS,MS,South,63.4,58.93,no,CBB,5,Mississippi
Miami-Ft. Lauderdale FL,FL,South,70.7,33.03,yes,CBB,2,Florida
Milwaukee WI,WI,North Central,43.1,46.14,yes,CBB,4,Wisconsin
Minneapolis-St. Paul MN,MN,North Central,41.2,44.33,yes,CBB,3,Minnesota
Minot-Bismarck-Dickinson(Williston) ND,ND,North Central,40.4,71.05,no,CBB,3,North Dakota
Missoula MT,MT,West,42.7,54.19,no,CBB,4,Montana
Mobile AL-Pensacola (Ft. Walton Beach) FL,FL,South,70.7,64.14,yes,CBB,4,Florida
Monroe LA-El Dorado AR,AR,South,60.4,63.82,no,CBB,3,Arkansas
Monterey-Salinas CA,CA,West,59.4,22.95,yes,CBB,2,California
Montgomery (Selma) AL,AL,South,62.8,50.2,no,CBB,6,Alabama
Nashville TN,TN,South,57.6,60.71,yes,CBB,8,Tennessee
New Orleans LA,LA,South,66.4,53.67,yes,CBB,3,Louisiana
New York NY,NY,Northeast,45.4,35.24,yes,CBB,3,New York
Norfolk-Portsmouth-Newport News VA,VA,South,55.1,44,no,CBB,4,Virginia
