DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
Miami-Ft. Lauderdale FL,FL,South,70.7,33.03,yes,CFB,6,Florida
Milwaukee WI,WI,North Central,43.1,46.14,yes,CFB,5,Wisconsin
Minneapolis-St. Paul MN,MN,North Central,41.2,44.33,yes,CFB,5,Minnesota
Minot-Bismarck-Dickinson(Williston) ND,ND,North Central,40.4,71.05,no,CFB,5,North Dakota
Missoula MT,MT,West,42.7,54.19,no,CFB,8,Montana
Mobile AL-Pensacola (Ft. Walton Beach) FL,FL,South,70.7,64.14,yes,CFB,22,Florida
Monroe LA-El Dorado AR,AR,South,60.4,63.82,no,CFB,13,Arkansas
Monterey-Salinas CA,CA,West,59.4,22.95,yes,CFB,4,California
Montgomery (Selma) AL,AL,South,62.8,50.2,no,CFB,27,Alabama
Nashville TN,TN,South,57.6,60.71,yes,CFB,13,Tennessee
