wage,age,education,marital,industry,health,hours,education_level
60000,43,18,married,management,very_good,40,masters
25000,24,13,single,service,excellent,40,some_college
39000,54,13,single,management,very_good,40,some_college
7000,24,13,single,service,excellent,40,some_college
30000,64,12,married,transportation,good,35,HS
72000,46,13,married,service,excellent,70,some_college
49500,44,12,married,installation_production,fair,40,HS
41000,32,18,single,management,excellent,42,masters
90000,26,13,married,management,very_good,40,some_college
85000,54,18,single,management,good,45,masters
1.00E+05,62,13,married,service,fair,60,some_college
115000,61,16,married,management,very_good,48,bachelors
27000,39,12,married,transportation,very_good,42,HS
25000,55,5.5,married,transportation,excellent,60,less_than_HS
20800,22,11,single,service,excellent,40,some_HS
20000,21,13,single,service,excellent,25,some_college
46000,41,14,married,management,good,40,associate
0,19,14,single,transportation,good,30,associate
72000,36,16,married,management,excellent,45,bachelors
20000,44,13,single,installation_production,good,40,some_college
80000,46,18,married,management,good,40,masters
4.00E+05,72,18,married,management,excellent,40,masters
33000,27,13,single,service,good,52,some_college
12500,24,12,single,service,excellent,25,HS
80000,48,13,married,service,very_good,50,some_college
0,36,12,single,service,good,40,HS
40002,59,12,single,service,good,40,HS
35000,39,14,single,management,very_good,36,associate
6200,24,14,single,service,very_good,13,associate
38000,62,11,single,installation_production,very_good,50,some_HS
17000,25,16,single,management,excellent,40,bachelors
35500,41,16,married,management,very_good,40,bachelors
24000,27,13,single,service,very_good,15,some_college
80000,27,16,married,service,excellent,40,bachelors
46547,60,18,married,management,good,50,masters
39000,46,13,married,management,excellent,40,some_college
45000,42,16,married,management,very_good,40,bachelors
76000,64,18,married,management,excellent,37,masters
0,40,11,married,service,good,40,some_HS
26000,52,13,single,management,very_good,40,some_college
50000,33,16,married,service,very_good,40,bachelors
3500,47,14,married,service,very_good,18,associate
40000,33,16,married,management,fair,40,bachelors
95000,42,16,married,management,good,55,bachelors
10000,22,12,single,construction,good,50,HS
101000,38,16,single,management,good,44,bachelors
12000,25,12,single,service,good,30,HS
51000,29,16,single,management,excellent,40,bachelors
70000,52,12,single,service,very_good,40,HS
50000,67,13,married,management,very_good,40,some_college
15000,23,13,single,service,good,25,some_college
30000,30,12,single,transportation,good,40,HS
105000,60,16,single,management,excellent,45,bachelors
23000,27,13,married,service,good,45,some_college
70000,33,13,married,service,excellent,40,some_college
0,69,12,married,management,good,20,HS
24000,64,12,married,transportation,very_good,20,HS
59000,31,12,single,service,very_good,40,HS
1.00E+05,27,16,married,service,very_good,40,bachelors
23000,52,5.5,married,ag,very_good,40,less_than_HS
15000,48,13,married,service,poor,40,some_college
78000,20,12,married,ag,very_good,40,HS
15000,35,11,married,service,excellent,25,some_HS
38000,40,5.5,married,service,fair,40,less_than_HS
16835,66,9,married,service,good,24,some_HS
250000,50,16,married,management,excellent,40,bachelors
30000,48,14,married,service,good,20,associate
18700,65,12,married,service,good,35,HS
58000,54,16,single,management,very_good,40,bachelors
150000,63,20,married,management,excellent,55,professional_phd
18000,75,12,married,management,good,40,HS
10100,22,13,single,service,excellent,3,some_college
150000,42,16,married,transportation,excellent,66,bachelors
26000,66,12,married,management,good,20,HS
60000,49,16,single,management,excellent,40,bachelors
106000,46,13,married,service,very_good,48,some_college
40000,24,16,single,management,excellent,40,bachelors
30000,46,18,married,management,excellent,24,masters
8000,31,16,married,service,excellent,30,bachelors
23000,64,12,married,service,good,15,HS
21000,48,12,single,management,good,37,HS
30000,40,16,single,management,excellent,40,bachelors
7460,22,13,married,service,excellent,20,some_college
60000,43,14,married,management,very_good,40,associate
23000,44,12,married,management,good,32,HS
70000,49,13,married,service,fair,40,some_college
0,50,12,married,service,excellent,48,HS
72000,52,16,married,construction,very_good,40,bachelors
175600,44,18,married,service,very_good,50,masters
38000,34,14,single,management,very_good,40,associate
47500,63,12,married,transportation,very_good,15,HS
72000,37,16,married,transportation,good,40,bachelors
11000,23,12,single,service,good,40,HS
62000,48,16,married,management,excellent,40,bachelors
14659,69,14,married,management,excellent,13,associate
65000,29,14,single,management,excellent,40,associate
0,58,11,single,transportation,poor,40,some_HS
36000,51,12,single,service,excellent,40,HS
20594,57,13,married,service,very_good,40,some_college
14000,62,18,single,service,excellent,30,masters
50000,36,16,married,management,very_good,40,bachelors
24000,38,2.5,single,service,very_good,36,less_than_HS
27000,43,12,married,service,fair,40,HS
150000,43,16,married,management,excellent,40,bachelors
40000,30,18,single,management,good,40,masters
10000,46,18,single,management,good,40,masters
60000,37,12,married,installation_production,very_good,40,HS
0,42,12,single,service,excellent,40,HS
36000,47,12,married,installation_production,good,40,HS
50000,48,18,married,service,good,40,masters
12000,41,11,single,construction,very_good,40,some_HS
52000,64,16,married,service,very_good,40,bachelors
12000,22,13,single,service,excellent,30,some_college
120000,53,12,married,management,very_good,45,HS
53000,47,16,married,management,excellent,40,bachelors
55000,36,16,single,management,good,40,bachelors
56000,50,12,married,service,excellent,40,HS
135000,63,12,married,construction,very_good,48,HS
0,33,18,single,management,excellent,40,masters
33280,53,7.5,married,installation_production,fair,40,less_than_HS
3000,19,12,single,service,excellent,30,HS
0,31,18,single,management,excellent,40,masters
20000,25,12,married,service,excellent,40,HS
0,40,13,single,service,excellent,50,some_college
16300,21,13,single,service,very_good,30,some_college
50000,53,13,married,installation_production,very_good,40,some_college
0,42,13,married,installation_production,fair,20,some_college
20000,50,18,married,management,good,19,masters
90000,58,12,married,management,excellent,40,HS
22000,21,14,single,service,excellent,45,associate
78500,47,14,married,service,fair,40,associate
21150,29,12,single,installation_production,good,37,HS
65000,32,18,married,management,very_good,40,masters
15000,24,12,single,service,excellent,32,HS
0,37,13,single,management,very_good,4,some_college
31003,36,12,single,management,excellent,40,HS
13000,45,12,married,transportation,excellent,40,HS
55000,46,16,single,service,very_good,45,bachelors
37000,54,16,single,service,good,40,bachelors
35000,39,7.5,single,service,good,40,less_than_HS
18000,38,12,married,service,very_good,40,HS
135002,61,20,married,management,good,50,professional_phd
0,34,16,married,service,very_good,30,bachelors
35000,46,12,married,service,excellent,40,HS
15000,24,14,single,service,very_good,38,associate
45000,52,12,married,transportation,very_good,60,HS
45000,30,12,married,service,excellent,40,HS
175000,36,20,married,management,good,60,professional_phd
