id,name,mobility,state,population,urban,seg_racial,seg_income,seg_poverty,seg_affluenc e,commute,income,gini,share_01,gini_99,middle_class,local_tax_rate,local_gov_spending,progressivity,eitc,school_spending,student_teacher_ratio,test_scores,hs_dropout,colleges,tuition,graduation,labor_force_participation,manufacturing,chinese_imports,teenage_labor,migration_in,migration_out,foreign_born,social_capital,religious,violent_crime,single_mothers,divorced,married,longitude,latitude
34401,Dillon,0.116883114,MT,9202,0,0.008,0.011,0.003,0.013,0.73,27667,0.404,13.733,0.266,0.62,0.027,2072,0,0,5.431,18.6,11.176,-0.003,0.109,2072,-0.12,0.637,0.044,0.015,0.007,0.013,0.018,0.016,0.908,0.485,0,0.123,0.083,0.57,-112.8630981,45.06940079
34402,Bozeman,0.125968993,MT,93985,0,0.021,0.044,0.043,0.05,0.527,31692,0.414,11.081,0.303,0.605,0.021,1735,0,0,6.05,16.8,13.863,-0.005,0.011,2272,0.082,0.71,0.073,1.066,0.006,0.033,0.022,0.026,1.329,0.267,0.001,0.148,0.092,0.562,-111.284935,45.44599152
34403,Helena,0.119741097,MT,70150,0,0.009,0.043,0.046,0.046,0.472,33610,0.355,8.999,0.265,0.611,0.029,1668,0,0,5.237,17.3,8.937,0.001,0.029,8644,0.066,0.691,0.041,0.368,0.006,0.023,0.02,0.015,3.071,0.466,0.001,0.184,0.126,0.6,-112.1091843,46.6794281
34404,Butte-Silver Bow,0.089366518,MT,54033,0,0.027,0.036,0.031,0.042,0.61,30173,0.398,6.68,0.331,0.551,0.03,1569,0,0,5.335,18,6.263,0.017,0.037,2123,-0.048,0.588,0.05,0.193,0.005,0.013,0.018,0.014,1.018,0.529,0.001,0.215,0.12,0.543,-113.0626144,46.27347946
34501,Bonners Ferry,0.099137932,ID,9871,0,0.011,0.003,0.002,0,0.438,28983,0.383,10.362,0.28,0.568,0.016,2032,0.4,0,4.668,19.5,4.734,0.031,NA,NA,NA,0.588,0.144,0.463,0.006,0.017,0.018,0.029,-0.295,0.358,0.001,0.156,0.11,0.616,-116.6835632,48.78676605
34502,Libby,0.130260527,MT,18837,0,0.004,0.009,0.005,0.016,0.599,26385,0.369,9.077,0.278,0.58,0.025,1638,0,0,5.077,17.1,5.058,-0.01,NA,NA,NA,0.535,0.127,0.033,0.004,0.014,0.014,0.014,0.66,0.382,0.001,0.181,0.116,0.619,-115.3273239,48.28434753
34503,Kalispell,0.110841423,MT,111205,0,0.173,0.024,0.021,0.028,0.45,32003,0.44,11.362,0.326,0.559,0.021,1710,0,0,4.985,17.9,5.978,0.008,0.018,2096,-0.121,0.623,0.115,0.65,0.006,0.021,0.017,0.02,0.527,0.395,0.001,0.191,0.118,0.592,-114.4555206,48.02499771
34504,Missoula,0.105627306,MT,135756,1,0.033,0.06,0.064,0.058,0.467,31286,0.418,8.702,0.331,0.564,0.025,1657,0,0,5.145,17.4,8.573,0.004,0.007,2250,0.048,0.671,0.076,0.512,0.005,0.025,0.024,0.021,1.17,0.314,0.002,0.196,0.108,0.543,-114.3804092,46.5549202
34601,Gillette,0.264184386,WY,46229,0,0.021,0.045,0.051,0.04,0.536,34452,0.295,8.507,0.21,0.572,0.062,4315,0,0,7.142,14.5,5.883,0.009,NA,NA,NA,0.724,0.033,0.023,0.007,0.018,0.017,0.014,-0.926,0.482,0.002,0.152,0.098,0.626,-105.1586533,44.25107574
34602,Rawlins,0.193415642,WY,15639,0,0.066,0.003,0.002,0.003,0.722,31828,0.269,4.303,0.226,0.645,0.046,3351,0,0,7.182,13.7,-5.208,0.016,NA,NA,NA,0.626,0.066,0.023,0.007,0.018,0.025,0.029,-0.646,0.429,0.003,0.192,0.123,0.613,-107.2571335,41.5921669
34603,Casper,0.1662689,WY,78585,1,0.025,0.057,0.053,0.056,0.528,34840,0.43,15.007,0.28,0.58,0.021,3000,0,0,6.458,17,-0.214,0.059,0.013,1248,-0.147,0.683,0.055,0.448,0.006,0.022,0.019,0.018,0.542,0.435,0.001,0.221,0.132,0.571,-106.0161438,42.78221893
34604,Lusk,NA,WY,2407,0,0,0,0,0,0.72,30783,0.418,NA,NA,NA,0.036,5706,0,0,7.655,12.5,NA,NA,NA,NA,NA,0.617,0.022,0.034,NA,NA,NA,0.007,0.808,0.492,0.002,0.156,0.106,0.605,-104.4576187,43.08903885
34701,Honolulu,0.105292603,HI,876156,1,0.14,0.107,0.101,0.105,0.235,39404,0.396,9.084,0.305,0.517,0.015,1316,1.05,0,6.563,18.4,-14.799,0.018,0.015,5088,-0.105,0.647,0.038,NA,0.003,0.03,0.034,0.192,NA,0.333,0.001,0.167,0.084,0.534,-157.9321899,21.4360733
