"Route","Latitude","Longitude","Total"
3,44.977195,-93.272875,0
3,44.97724,-93.166343,0
3,44.977244,-93.16748,132
3,44.977258,-93.172722,50
3,44.977268,-93.16971,7
3,44.977276,-93.264027,85
3,44.977279,-93.208352,0
3,44.977281,-93.164557,15
3,44.977298,-93.135402,5
3,44.977301,-93.162099,30
3,44.977311,-93.126495,34
3,44.977312,-93.125212,6
3,44.977316,-93.121377,18
3,44.977319,-93.118984,55
3,44.977322,-93.129004,3
3,44.977324,-93.116259,12
3,44.977324,-93.113758,21
3,44.977329,-93.108601,9
3,44.97733,-93.159474,1
3,44.977332,-93.206122,0
3,44.977332,-93.106049,43
3,44.977338,-93.131231,44
3,44.977346,-93.111245,24
3,44.97735,-93.208124,0
3,44.977353,-93.156934,40
3,44.977366,-93.270058,0
3,44.977366,-93.172042,82
3,44.977373,-93.169448,17
3,44.977386,-93.164302,7
3,44.977406,-93.162138,31
3,44.977407,-93.146787,3
3,44.977415,-93.12624,27
3,44.977416,-93.166684,363
3,44.977417,-93.124957,2
3,44.977421,-93.121122,21
3,44.977423,-93.128749,4
3,44.977423,-93.11859,21
3,44.977429,-93.115992,12
3,44.977432,-93.11336,14
3,44.977434,-93.159327,5
3,44.977434,-93.108299,14
3,44.977436,-93.106212,98
3,44.977437,-93.131575,25
3,44.977448,-93.110855,20
3,44.977449,-93.134826,8
3,44.977457,-93.264186,18
3,44.977458,-93.206014,0
3,44.97746,-93.156679,67
3,44.977468,-93.148913,6
3,44.977495,-93.146431,8
3,44.977532,-93.188877,273
3,44.977541,-93.267886,NA
3,44.97756,-93.204433,0
3,44.977572,-93.148971,4
3,44.977664,-93.2045,0
3,44.97767,-93.153529,19
3,44.977726,-93.209753,5
3,44.977729,-93.209456,5
3,44.977733,-93.271308,0
3,44.977774,-93.153568,33
3,44.97781,-93.189659,97
3,44.978123,-93.23554,2252
3,44.978277,-93.266413,221
3,44.978336,-93.26927,0
3,44.97835,-93.275274,1
3,44.978468,-93.235893,722
3,44.978614,-93.266932,10
3,44.978724,-93.19139,6
3,44.979017,-93.270522,2
3,44.979091,-93.191805,26
3,44.979209,-93.2683,5
3,44.979681,-93.213135,1
3,44.97975,-93.213024,4
3,44.979798,-93.269671,18
3,44.979803,-93.269984,1110
3,44.979909,-93.193486,11
3,44.980103,-93.193413,15
3,44.980159,-93.23411,650
3,44.980219,-93.234269,130
3,44.980442,-93.27119,8
3,44.980493,-93.271522,367
3,44.981014,-93.275356,14
3,44.981121,-93.275221,343
3,44.981315,-93.194349,47
3,44.981533,-93.194813,48
3,44.981627,-93.214589,11
3,44.981654,-93.214782,0
3,44.981747,-93.232852,35
3,44.982,-93.232822,38
3,44.982374,-93.195628,105
3,44.982448,-93.195903,56
3,44.982556,-93.269398,2
3,44.983007,-93.274642,28
3,44.983487,-93.216196,3
3,44.983533,-93.216409,0
3,44.983748,-93.231267,51
3,44.983957,-93.231276,122
3,44.984125,-93.22535,0
3,44.984173,-93.221607,0
3,44.98421,-93.225427,2
3,44.984217,-93.218805,0
3,44.984262,-93.221457,1
3,44.984325,-93.218426,0
3,44.984365,-93.272747,2
3,44.984417,-93.228672,0
3,44.984478,-93.197862,7
3,44.984538,-93.197739,30
3,44.985248,-93.230303,32
3,44.985391,-93.230246,0
3,44.985429,-93.230447,240
3,44.986876,-93.202386,2
3,44.987087,-93.202608,84
3,44.987224,-93.202627,401
3,44.987487,-93.204326,0
3,44.987734,-93.230444,814
3,44.987742,-93.230305,74
3,44.987753,-93.202919,1
3,44.987774,-93.227061,34
3,44.987787,-93.225747,40
3,44.987842,-93.22168,65
3,44.987855,-93.21912,26
3,44.987878,-93.226807,320
3,44.987887,-93.216669,26
3,44.987898,-93.225407,184
3,44.987903,-93.215304,36
3,44.987946,-93.221746,564
3,44.987955,-93.212358,36
3,44.987962,-93.218823,261
3,44.987995,-93.216259,169
3,44.988014,-93.215049,390
3,44.988027,-93.207873,18
3,44.988048,-93.213,198
3,44.988134,-93.207618,20
4,44.855121,-93.289862,5
4,44.855134,-93.292384,3
4,44.855135,-93.294911,3
4,44.855143,-93.296176,13
4,44.855239,-93.29213,0
4,44.85524,-93.294657,0
4,44.85524,-93.289588,1
4,44.855251,-93.296991,0
4,44.855364,-93.2883,14
4,44.855961,-93.302229,18
4,44.856857,-93.298573,260
4,44.857134,-93.300851,1
4,44.858489,-93.304974,3
4,44.858653,-93.305418,47
4,44.858667,-93.302004,0
4,44.85873,-93.308239,1
4,44.858818,-93.288279,22
4,44.858834,-93.30221,9
4,44.858886,-93.288603,2
4,44.860033,-93.308547,101
4,44.860734,-93.308971,1
4,44.863634,-93.288288,68
4,44.863814,-93.288427,4
4,44.864585,-93.308405,197
4,44.86487,-93.308816,9
4,44.865417,-93.288308,28
4,44.865598,-93.28846,3
4,44.867209,-93.288352,62
4,44.867235,-93.308601,53
4,44.867409,-93.288503,5
4,44.867416,-93.308744,7
4,44.868995,-93.288365,13
4,44.869008,-93.30856,32
4,44.8692,-93.288512,0
4,44.869227,-93.308704,3
4,44.870795,-93.288354,10
4,44.870849,-93.308566,4
4,44.870976,-93.288498,3
4,44.87103,-93.308714,0
4,44.872559,-93.288317,5
4,44.872641,-93.308549,5
4,44.87277,-93.288472,0
4,44.872822,-93.308692,0
4,44.873475,-93.288595,0
4,44.874356,-93.2887,2
4,44.874416,-93.308523,1
4,44.874627,-93.308667,0
4,44.875331,-93.28911,NA
4,44.876187,-93.28908,2
4,44.876216,-93.308518,6
4,44.876412,-93.289185,1
4,44.876413,-93.308665,1
4,44.877964,-93.288456,2
4,44.878024,-93.308523,5
4,44.878153,-93.288534,0
4,44.878205,-93.308671,2
4,44.879736,-93.28782,1
4,44.879849,-93.308552,6
4,44.879927,-93.287925,2
4,44.88003,-93.3087,1
4,44.880704,-93.287728,0
4,44.880899,-93.28783,10
4,44.881591,-93.30855,4
4,44.88168,-93.287332,7
4,44.881797,-93.308698,4
4,44.883443,-93.308556,56
4,44.883481,-93.286546,36
4,44.883529,-93.286365,124
4,44.883624,-93.308704,87
4,44.885113,-93.285936,28
4,44.885228,-93.286176,9
4,44.885241,-93.308566,31
4,44.885421,-93.308713,9
4,44.886905,-93.288099,14
4,44.886964,-93.308548,12
4,44.887055,-93.288327,2
4,44.887213,-93.308692,4
4,44.888682,-93.288282,50
4,44.88881,-93.308577,9
4,44.888877,-93.288429,12
4,44.88901,-93.308725,6
4,44.889749,-93.308574,9
4,44.890078,-93.308719,1
4,44.890606,-93.288256,6
4,44.890789,-93.2884,2
4,44.891241,-93.308741,1
4,44.891425,-93.308583,4
4,44.892293,-93.288284,27
4,44.892465,-93.308604,4
4,44.892474,-93.288432,14
4,44.892646,-93.308752,1
4,44.894126,-93.288259,17
4,44.894233,-93.288398,4
4,44.894243,-93.308602,20
4,44.894424,-93.30875,8
4,44.896852,-93.308609,3
4,44.897033,-93.308756,3
4,44.897699,-93.288226,31
4,44.897778,-93.288427,16
4,44.897837,-93.308614,7
4,44.898018,-93.308761,2
4,44.899532,-93.288216,16
4,44.899662,-93.308604,0
4,44.901435,-93.308594,25
4,44.901615,-93.308742,18
4,44.901663,-93.288231,94
4,44.902039,-93.288383,18
4,44.903248,-93.308581,11
4,44.903429,-93.308729,3
4,44.904915,-93.288374,21
4,44.904989,-93.288224,75
4,44.905035,-93.308567,10
4,44.905215,-93.308715,6
4,44.906154,-93.308728,0
4,44.906421,-93.288212,20
4,44.906632,-93.28836,8
4,44.906848,-93.308589,NA
4,44.907103,-93.308737,NA
4,44.907555,-93.288218,9
4,44.908783,-93.288355,1
4,44.908826,-93.308754,3
4,44.908873,-93.308607,6
4,44.910358,-93.28834,1
4,44.910465,-93.308604,2
4,44.910586,-93.288206,1
4,44.910645,-93.308752,2
4,44.912198,-93.308783,10
4,44.912257,-93.28838,2
4,44.912266,-93.293481,1
4,44.912273,-93.296049,1
4,44.912281,-93.298111,10
